drugbank_id	drugbank_name	pubchem_id	stitch_id_flat	umls_cui_from_label	method	concept_name	meddra_type	umls_cui_from_meddra	meddra_name
DB00014	Goserelin	47725	CID100047725	C0002871	text_mention	Anemia	PT	C0002871	Anaemia
DB00014	Goserelin	47725	CID100047725	C0006142	NLP_indication	Malignant neoplasm of breast	PT	C0006142	Breast cancer
DB00014	Goserelin	47725	CID100047725	C0006826	NLP_precondition	Malignant Neoplasms	PT	C0006826	Neoplasm malignant
DB00014	Goserelin	47725	CID100047725	C0014175	NLP_indication	Endometriosis	PT	C0014175	Endometriosis
DB00014	Goserelin	47725	CID100047725	C0025323	text_mention	Menorrhagia	PT	C0025323	Menorrhagia
DB00014	Goserelin	47725	CID100047725	C0025874	NLP_precondition	Metrorrhagia	PT	C0025874	Metrorrhagia
DB00014	Goserelin	47725	CID100047725	C0027627	text_mention	Neoplasm Metastasis	PT	C0027627	Metastasis
DB00014	Goserelin	47725	CID100047725	C0030193	NLP_indication	Pain	PT	C0030193	Pain
DB00014	Goserelin	47725	CID100047725	C0042133	text_mention	Uterine Fibroids	PT	C0042133	Uterine leiomyoma
DB00014	Goserelin	47725	CID100047725	C0153690	NLP_precondition	Bone cancer metastatic	PT	C0153690	Bone cancer metastatic
DB00014	Goserelin	47725	CID100047725	C0178879	NLP_precondition	Urinary tract obstruction	PT	C0178879	Urinary tract obstruction
DB00014	Goserelin	47725	CID100047725	C0376358	NLP_indication	Malignant neoplasm of prostate	PT	C0376358	Prostate cancer
DB00014	Goserelin	47725	CID100047725	C0600139	NLP_indication	Prostate carcinoma	PT	C0376358	Prostate cancer
DB00014	Goserelin	47725	CID100047725	C3495917	NLP_indication	Advanced breast cancer	PT	C0006142	Breast cancer
DB00035	Desmopressin	27991	CID100027991	C0008533	NLP_indication	Hemophilia B	PT	C0008533	Factor IX deficiency
DB00035	Desmopressin	27991	CID100027991	C0011848	NLP_precondition	Diabetes Insipidus	PT	C0011848	Diabetes insipidus
DB00035	Desmopressin	27991	CID100027991	C0012797	text_mention	Diuresis	PT	C0032617	Polyuria
DB00035	Desmopressin	27991	CID100027991	C0014394	text_mention	Enuresis	PT	C0014394	Enuresis
DB00035	Desmopressin	27991	CID100027991	C0018674	NLP_indication	Craniocerebral Trauma	PT	C0018674	Head injury
DB00035	Desmopressin	27991	CID100027991	C0018924	text_mention	Hemarthrosis	PT	C0018924	Haemarthrosis
DB00035	Desmopressin	27991	CID100027991	C0019069	NLP_indication	Hemophilia A	PT	C0019069	Factor VIII deficiency
DB00035	Desmopressin	27991	CID100027991	C0019080	text_mention	Hemorrhage	PT	C0019080	Haemorrhage
DB00035	Desmopressin	27991	CID100027991	C0019080	text_mention	Hemorrhage	PT	C0518015	Haemoglobin
