umls_cui_from_meddra	side_effect_name
C0863129	AGEP
C0001849	AIDS dementia complex
C1852242	AION
C1740832	AML progression
C1610080	ANA increased
C0877217	Abasia
C0243001	Abdominal abscess
C0549357	Abdominal adhesions
C0162871	Abdominal aortic aneurysm
C0425669	Abdominal aortic bruit
C1291077	Abdominal bloating
C0232488	Abdominal colic
C0000729	Abdominal cramps
C0232487	Abdominal discomfort
C1290864	Abdominal disorder
C0000731	Abdominal distension
C0235698	Abdominal distension gaseous
C0235295	Abdominal distress
C0178282	Abdominal hernia
C1112209	Abdominal infection
C0848377	Abdominal injury
C0000735	Abdominal neoplasm
C0000737	Abdominal pain
C0549273	Abdominal pain aggravated
C0344304	Abdominal pain generalised
C0522061	Abdominal pain localised
C0232495	Abdominal pain lower
C0232492	Abdominal pain upper
C0159066	Abdominal rigidity
C1141926	Abdominal sepsis
C0948733	Abdominal spasm
C0948610	Abdominal strangulated hernia
C0740651	Abdominal symptom
C0232498	Abdominal tenderness
C0263105	Abdominal wall abscess
C0233514	Abnormal behaviour
C0159060	Abnormal bowel sounds
C0159056	Abnormal chest sounds NOS
C0877331	Abnormal clotting factor
C0234458	Abnormal dreams
C2937350	Abnormal ejaculation
C0497202	Abnormal eye movements NOS
C0162287	Abnormal faeces
C0392702	Abnormal involuntary movements
C0013418	Abnormal labour
C1260926	Abnormal pigmentation
C0151854	Abnormal platelets
C0497201	Abnormal sensation in eye
C0855246	Abnormal sleep-related event
C3665386	Abnormal vision
C2609183	Abnormal withdrawal bleeding
C0157733	Abnormalities of the hair
C0156543	Abortion
C0812470	Abortion incomplete
C0000817	Abortion infected
C0000814	Abortion missed
C0000786	Abortion spontaneous
C1302752	Abrasion NOS
C0000833	Abscess
C0578455	Abscess limb
C0031085	Abscess periodontal
C1168174	Absolute neutrophil count decreased
C0267841	Acalculous cholecystitis
C0000889	Acanthosis nigricans
C1504343	Acarodermatitis
C0856677	Accelerated hair loss
C0000924	Accident
C0521208	Accident at home
C3544060	Accidental exposure to product
C0857807	Accidental ingestion
C0151736	Accidental injury
C0151821	Accidental overdose
C0152198	Accommodation disorder
C1260871	Acetonaemia
C0234238	Ache
C0221785	Ache wrists
C0948198	Acholia
C0151848	Acid phosphatase high
C0268030	Acidemia
C0001122	Acidosis
C0085569	Acidosis hyperchloraemic
C0702166	Acne
C0010666	Acne cystic
C0263445	Acne fulminans
C0263437	Acne infantile
C0263443	Acne pustular
C0001144	Acne vulgaris
C0175167	Acneiform eruption
C1096116	Acquired haemophilia
C0001175	Acquired immunodeficiency syndrome
C0022581	Acquired keratoderma
C3665770	Acquired lipoatrophic diabetes
C1384597	Acquired megacolon
C0152202	Acquired night blindness
C0239343	Acral erythema
C0037293	Acrochordon
C0001198	Acrodynia
C0001206	Acromegaly
C0022602	Actinic keratosis
C0234376	Action tremor
C0240671	Activated partial thromboplastin time prolonged
C1868709	Activation syndrome
C0000727	Acute abdomen
C0413234	Acute allergic reaction
C1735634	Acute allograft rejection
C0857035	Acute anaphylaxis
C0154946	Acute angle-closure glaucoma
C0085693	Acute appendicitis
C0149514	Acute bronchitis
C1739418	Acute cardiac toxicity
C0522051	Acute chest pain
C1735630	Acute cholestatic hepatitis
C1285577	Acute confusional state
C0948089	Acute coronary syndrome
C0149523	Acute cystitis
C1736172	Acute cytolytic hepatitis
C1386135	Acute depression
C0740441	Acute diarrhea
C0014059	Acute disseminated encephalomyelitis
C0743323	Acute dyspnea
C1735368	Acute dystonia
C3203466	Acute enterocolitis
C0085077	Acute febrile neutrophilic dermatosis
C0267446	Acute gastroenteritis
C0877055	Acute generalised exanthematous pustulosis
C0281773	Acute glaucoma
C0856825	Acute graft versus host disease
C1387528	Acute haemolytic anaemia
C0162557	Acute hepatic failure
C0149937	Acute interstitial nephritis
C1279945	Acute interstitial pneumonitis
C2609414	Acute kidney injury
C0085669	Acute leukaemia
C0857331	Acute liver damage
C2242583	Acute liver injury
C0023449	Acute lymphocytic leukaemia
C1740836	Acute migraine
C0023467	Acute myeloid leukaemia
C0155626	Acute myocardial infarction
C0746731	Acute myocardial ischemia
C0268733	Acute nephritis
C1963951	Acute overdose
C0184567	Acute pain
C0001349	Acute phase reaction
C2747793	Acute phosphate nephropathy
C1167654	Acute prerenal failure
C0023487	Acute promyelocytic leukaemia
