DRUG_NAME,ACCESSION,TARGET_NAME,ACT_VALUE,ACT_TYPE,SMILES
cefamandole,P46059,SLC15A1,2.09,Ki,CN1N=NN=C1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)C1=CC=CC=C1)C2=O)C(O)=O
dichloroacetic acid,Q15120,PDK3,2.097,Ki,OC(=O)C(Cl)Cl
cefadroxil,P46059,SLC15A1,2.14,Ki,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=C(O)C=C1)C2=O)C(O)=O
adenosine phosphate,P0A9J4,panE,2.2,Ki,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
procaine,P21817,RYR1,2.222,IC50,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
metformin,O75751,SLC22A3,2.499,Km,CN(C)C(=N)NC(N)=N
pentobarbital,Q12809,KCNH2,2.553,IC50,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
proglumide,P25102,Hrh2,2.6,IC50,CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1
metformin,O15245,SLC22A1,2.697,IC50,CN(C)C(=N)NC(N)=N
tyramine,P56817,BACE1,2.7,Kd,NCCC1=CC=C(O)C=C1
flecainide,Q9Y3Q4,HCN4,2.77,IC50,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
aminosalicylic acid,P18031,PTPN1,2.92,Kd,NC1=CC(O)=C(C=C1)C(O)=O
nomifensine,P21397,MAOA,2.947,Km,CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1
dichloroacetic acid,Q15118,PDK1,3,Ki,OC(=O)C(Cl)Cl
dopamine,P09172,DBH,3,Km,NCCC1=CC(O)=C(O)C=C1
siponimod,Q99500,S1PR3,3,EC50,CCC1=CC(=CC=C1CN1CC(C1)C(O)=O)C(\C)=N\OCC1=CC=C(C2CCCCC2)C(=C1)C(F)(F)F
levofloxacin,Q12809,KCNH2,3.04,IC50,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
phenazone,O75762,TRPA1,3.081,IC50,CN1N(C(=O)C=C1C)C1=CC=CC=C1
hydroxyamfetamine,P56817,BACE1,3.1,Kd,CC(N)CC1=CC=C(O)C=C1
levosimendan,P63316,TNNC1,3.155,Kd,C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1
adenosine phosphate,P00338,LDHA,3.19,Kd,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
troglitazone,P08684,CYP3A4,3.208,Km,CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C
etoposide,Q92887,ABCC2,3.21,Km,COC1=CC(=CC(OC)=C1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)C2=C1C=C1OCOC1=C2
bambuterol,P22303,ACHE,3.25,Ki,CN(C)C(=O)OC1=CC(=CC(OC(=O)N(C)C)=C1)C(O)CNC(C)(C)C
etoposide,P08183,ABCB1,3.282,Ki,COC1=CC(=CC(OC)=C1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)C2=C1C=C1OCOC1=C2
lidocaine,P46098,HTR3A,3.296,IC50,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
dichloroacetic acid,Q16654,PDK4,3.301,Ki,OC(=O)C(Cl)Cl
nabumetone,P23219,PTGS1,3.34,IC50,COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1
azithromycin,Q12809,KCNH2,3.39,IC50,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
metformin,O15244,SLC22A2,3.401,IC50,CN(C)C(=N)NC(N)=N
colchicine,P23415,GLRA1,3.49,IC50,COC1=C(OC)C(OC)=C2C(CC[C@H](NC(C)=O)C3=CC(=O)C(OC)=CC=C23)=C1
benzocaine,Q14524,SCN5A,3.495,ED50,CCOC(=O)C1=CC=C(N)C=C1
losartan,P08183,ABCB1,3.498,Km,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1
mexiletine,Q9Y3Q4,HCN4,3.51,IC50,CC(N)COC1=C(C)C=CC=C1C
procaine,Q8TCU5,GRIN3A,3.529,IC50,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
ibuprofen,P78348,ASIC1,3.53,IC50,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
lidocaine,Q9Y3Q4,HCN4,3.559,IC50,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
chlorpromazine,P21817,RYR1,3.569,IC50,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
disopyramide,Q9Y3Q4,HCN4,3.604,IC50,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C
diazoxide,P43490,NAMPT,3.64,Kd,CC1=NC2=CC=C(Cl)C=C2S(=O)(=O)N1
dichloroacetic acid,Q15119,PDK2,3.699,Ki,OC(=O)C(Cl)Cl
azithromycin,P08183,ABCB1,3.7,IC50,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
zolpidem,P08183,ABCB1,3.703,Km,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
colchicine,P08183,ABCB1,3.801,Kd,COC1=C(OC)C(OC)=C2C(CC[C@H](NC(C)=O)C3=CC(=O)C(OC)=CC=C23)=C1
pregabalin,Q01650,SLC7A5,3.801,IC50,CC(C)C[C@H](CN)CC(O)=O
lamotrigine,Q99720,SIGMAR1,3.839,IC50,NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1
alprazolam,P08684,CYP3A4,3.85,Ki,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12
theophylline,Q14432,PDE3A,3.85,Ki,CN1C2=C(N=CN2)C(=O)N(C)C1=O
parecoxib,P23219,PTGS1,3.854,IC50,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1
procainamide,Q12809,KCNH2,3.86,IC50,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1
oxyquinoline,P08253,MMP2,3.89,IC50,OC1=CC=CC2=C1N=CC=C2
cinchophen,Q9Y233,PDE10A,3.9,Kd,OC(=O)C1=CC(=NC2=CC=CC=C12)C1=CC=CC=C1
