FIPS,SBsPerCapita,Circ/Dist and County,All FilingsTotalPerCapita,Business Filings TotalPerCapita,Nonbusiness Filings TotalPerCapita,few_fruits_percent,statcode,areaname,relig09,civic09,bus09,pol09,prof09,labor09,bowl09,fitns09,golf09,sport09,pop09,respn10,pvote08,nccs09,assn09,sk09,Area_name.x,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Civilian_labor_force_2014PerCapita,Employed_2014PerCapita,Unemployed_2014PerCapita,Unemployment_rate_2014,"gini2000: Gini Coef of income disparity, 2000","RS2000: Ricci-Schutz Coef of income disparity, 2000","Atkin2000: Atkinsons measure of income disparity, 2000","Theil2000: Theil index of income disparity, 2000","VarCoe2000: Coef of var for household income, 2000","SqVar2000: Squared Coef of var for household income, 2000","Entrop2000: Entropy index of income disparity, 2000","gini1990: Gini Coef of income disparity, 1990","RS1990: Ricci-Schutz Coef of income disparity, 1990","Atkin1990: Atkinsons measure of income disparity, 1990","Theil1990: Theil index of income disparity, 1990","VarCoe1990: Coef of var for household income, 1990","SqVar1990: Squared Coef of var for household income, 1990","Entrop1990: Entropy index of income disparity, 1990",Area_name.y,2013_Rural-urban_Continuum_Code,2013_Urban_Influence_Code,Prc_of_adults_with_less_than_high_school_diploma_2009-2013,Prc_of_adults_with_a_high_school_diploma_only_2009-2013,Prc_of_adults_compl_some_college_or_asc_deg_2009-2013,Prc_of_adults_with_a_bachelor's_deg_or_higher_2009-2013,no_exercise_percent,Number of establishmentsPerCapita,annual_payroll,State.x,Area_Name.x,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013.x,Urban_Influence_Code_2013.x,POVALL_2013PerCapita,CI90LBAll_2013,CI90UBALL_2013,PCTPOVALL_2013,CI90LBALLP_2013,CI90UBALLP_2013,POV017_2013PerCapita,CI90LB017_2013,CI90UB017_2013,PCTPOV017_2013,CI90LB017P_2013,CI90UB017P_2013,POV517_2013PerCapita,CI90LB517_2013,CI90UB517_2013,PCTPOV517_2013,CI90LB517P_2013,CI90UB517P_2013,MEDHHINC_2013,CI90LBINC_2013,CI90UBINC_2013,POV05_2013,CI90LB05_2013,CI90UB05_2013,PCTPOV05_2013,CI90LB05P_2013,CI90UB05P_2013,State.y,Area_Name.y,Rural_urban_Continuum_Code_2013.y,Urban_Influence_Code_2013.y,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2014,N_POP_CHG_2014PerCapita,Births_2014PerCapita,Deaths_2014PerCapita,NATURAL_INC_2014PerCapita,INTERNATIONAL_MIG_2014PerCapita,DOMESTIC_MIG_2014PerCapita,NET_MIG_2014PerCapita,RESIDUAL_2014PerCapita,R_birth_2014,R_death_2014,R_NATURAL_INC_2014,R_INTERNATIONAL_MIG_2014,R_DOMESTIC_MIG_2014,R_NET_MIG_2014
1019,0.007412528,CHEROKEE,0.003610247,7.68E-05,0.003533433,NA,1,"Cherokee, AL",19,1,1,0,0,1,0,1,1,0,24448,0.55,0.502605,65,0.981675,-1.270885,"Cherokee County, AL",6,6,0.433959366,0.408572416,0.025386949,5.9,0.430362,0.306087,0.159638,0.340535,1.026432,1.053562,0.33315,0.426854,0.304551,0.157731,0.321434,0.922052,0.850181,0.328992,Cherokee County,6,6,21.7,34.7,30.8,12.8,NA,0.014556208,NA,AL,Cherokee County,8,6,6,6,0.199677382,4128,6270,20.1,16,24.2,0.06517648,1327,2067,31.6,24.7,38.5,0.045473749,903,1465,28.8,22,35.6,37478,34040,40916,NA,NA,NA,NA,NA,NA,AL,Cherokee County,6,6,25989,25986,26037,-0.002995737,0.009332872,0.011790913,-0.00245804,0.000192034,0.000192034,0.000384069,-0.000921765,9.3,12.6,-3.2,0.2,5.8,5.9
1033,0.00066003,COLBERT,0.004400198,3.67E-05,0.00436353,79.4,1,"Colbert, AL",68,4,2,0,0,15,0,4,3,0,54639,0.74,0.581463,192,1.756987,-0.253049,"Colbert County, AL",3,2,0.440313147,0.404176521,0.036136626,8.2,0.464566,0.330592,0.186875,0.413445,1.186872,1.408665,0.393063,0.442338,0.316076,0.169236,0.363475,1.065756,1.135836,0.354151,Colbert County,3,2,16.5,34.6,31.2,17.7,27.3,0.022477678,NA,AL,Colbert County,3,2,3,2,0.161230589,7247,10341,16.3,13.4,19.2,0.055259153,2363,3665,25.8,20.2,31.4,0.038300057,1560,2618,24.3,18.1,30.5,40032,37377,42687,NA,NA,NA,NA,NA,NA,AL,Colbert County,2,2,54428,54428,54543,0.000806703,0.011238839,0.012100545,-0.000861705,0.000623361,0.001760079,0.002383441,-0.000715032,11.2,13.2,-2.1,0.6,1.8,2.4
5005,0.000318183,BAXTER,0.00178672,2.45E-05,0.001762244,87.5,5,"Baxter, AR",26,4,3,0,0,1,1,4,2,0,42157,0.73,0.58412,200,0.972555,-0.677336,"Baxter County, AR",7,8,0.385246102,0.359081675,0.026164427,6.8,0.429937,0.303597,0.157723,0.346395,1.038358,1.078187,0.328974,0.42555,0.302073,0.153786,0.338442,1.033006,1.067101,0.320405,Baxter County,7,8,12.4,36.7,34.3,16.5,NA,0.025430159,NA,AR,Baxter County,7,8,7,8,0.153902636,4986,7590,15.6,12.4,18.8,0.047629537,1497,2395,27,20.8,33.2,0.031818293,957,1643,24,17.7,30.3,36082,33443,38721,NA,NA,NA,NA,NA,NA,AR,Baxter County,8,8,41513,41513,40857,-0.00340211,0.008052476,0.016178378,-0.008125903,0,0.005947573,0.005947573,-0.001223781,8,15.8,-7.2,0,4.8,4.8
5021,0.000595317,CLAY,0.000859902,0,0.000859902,NA,5,"Clay, AR",22,0,2,0,0,0,0,1,0,0,15585,0.73,0.442153,64,1.604106,-0.994962,"Clay County, AR",7,9,0.418970763,0.385236142,0.033734621,8.1,0.473441,0.335866,0.193565,0.441394,1.269487,1.611597,0.407931,0.460765,0.328583,0.181733,0.400695,1.150209,1.322981,0.381676,Clay County,7,9,23.9,43.5,23.1,9.5,NA,0.020306919,NA,AR,Clay County,7,9,7,9,0.200754068,2431,3639,20,16,24,0.062375976,741,1145,29.5,23.2,35.8,0.04200291,481,789,25.9,19.6,32.2,33488,30527,36449,NA,NA,NA,NA,NA,NA,AR,Clay County,9,9,16083,16083,15118,-0.011641752,0.008400582,0.01382458,-0.005423998,0,-0.005556291,-0.005556291,-0.000661463,8.4,16.1,-10.6,0,-8,-8
5023,0.000273075,CLEBURNE,0.001950534,0,0.001950534,NA,5,"Cleburne, AR",34,3,2,0,0,0,1,1,4,0,25600,0.67,0.559376,112,1.757813,-0.191384,"Cleburne County, AR",6,6,0.374775689,0.343567137,0.031208551,8.3,0.438272,0.309728,0.163718,0.350827,1.007272,1.014597,0.342061,0.429221,0.302379,0.158453,0.341987,1.034952,1.071125,0.330566,Cleburne County,6,6,15.5,37.9,29.9,16.8,NA,0.022509168,NA,AR,Cleburne County,6,6,6,6,0.160763049,3310,4932,16.3,13.1,19.5,0.051064992,1029,1589,26.4,20.8,32,0.034758524,680,1102,24.1,18.4,29.8,41612,38197,45027,NA,NA,NA,NA,NA,NA,AR,Cleburne County,6,6,25970,25969,25634,-0.000858235,0.008933448,0.014082859,-0.005149411,-0.000312086,0.004915347,0.004603261,-0.000312086,8.9,13.6,-4,-0.3,-1.2,-1.5
5031,5.85E-05,CRAIGHEAD,0.001911859,7.80E-05,0.001833824,77.9,5,"Craighead, AR",72,7,3,2,0,5,1,5,3,0,95457,0.74,0.444802,339,1.02664,-1.530008,"Craighead County, AR",3,2,0.479349968,0.453003375,0.026346593,5.5,0.451259,0.32376,0.172006,0.361077,0.991416,0.982907,0.360232,0.465962,0.32806,0.189233,0.421139,1.207732,1.458618,0.398296,Craighead County,3,2,15.1,33.6,26.8,24.4,NA,0.024151856,NA,AR,Craighead County,3,2,3,2,0.190230008,16920,22084,20,17.4,22.6,0.069977955,6030,8318,28.9,24.3,33.5,0.044957959,3714,5504,25.9,20.9,30.9,41608,38647,44569,NA,NA,NA,NA,NA,NA,AR,Craighead County,2,2,96443,96443,102518,0.008496069,0.014095086,0.008808209,0.005286876,0.00102421,0.002770245,0.003794456,-0.000585263,14.2,8.2,6.1,1,9.5,10.5
5049,0.004618557,FULTON,0.000989691,0,0.000989691,NA,5,"Fulton, AR",5,0,1,0,0,0,1,0,0,0,11585,0.59,0.501018,59,0.60423,-1.249971,"Fulton County, AR",9,9,0.388453608,0.365195876,0.023257732,6,0.486289,0.34371,0.209619,0.521358,1.574828,2.480084,0.443866,0.466772,0.334086,0.184998,0.413125,1.171138,1.371564,0.388901,Fulton County,9,9,16.3,41.7,32,10,NA,0.013360825,NA,AR,Fulton County,9,9,9,9,0.228865979,2199,3351,22.9,18.1,27.7,0.081814433,790,1194,40.1,31.9,48.3,0.056329897,537,829,36.4,28.6,44.2,33439,30446,36432,NA,NA,NA,NA,NA,NA,AR,Fulton County,9,9,12245,12245,12125,-0.008412371,0.008907216,0.014845361,-0.005938144,0.000164948,-0.001731959,-0.00156701,-0.000907216,8.9,13.2,-4.3,0.2,2.9,3
5055,0.000160205,GREENE,0.001602051,2.29E-05,0.001579164,NA,5,"Greene, AR",40,0,1,0,1,0,1,3,2,0,40996,0.76,0.444822,117,1.170846,-1.53097,"Greene County, AR",4,5,0.444065547,0.415205749,0.028859798,6.5,0.466434,0.325822,0.194422,0.462524,1.412122,1.994089,0.40984,0.435505,0.307785,0.164189,0.356633,1.081918,1.170546,0.343092,Greene County,4,5,17.2,42.8,25.3,14.7,NA,0.017553898,NA,AR,Greene County,6,5,4,5,0.171648281,6139,8861,17.7,14.5,20.9,0.060649059,2086,3214,25.3,19.9,30.7,0.039776628,1317,2159,23,17.4,28.6,40840,37217,44463,NA,NA,NA,NA,NA,NA,AR,Greene County,5,5,42090,42090,43694,0.014235364,0.012244244,0.010413329,0.001830915,0.000251751,0.012221358,0.012473108,-6.87E-05,12.3,11.3,1.6,0.2,-3.9,-3.7
5063,0.004329121,INDEPENDENCE,0.001298736,5.41E-05,0.001244622,NA,5,"Independence, AR",34,4,3,0,0,0,0,2,3,0,34634,0.69,0.461882,197,1.328175,-0.854384,"Independence County, AR",7,8,0.413187586,0.380286263,0.032901323,8,0.444594,0.312766,0.171746,0.378453,1.103041,1.2167,0.359661,0.459514,0.326013,0.18192,0.399432,1.139451,1.298348,0.382089,Independence County,7,8,17.5,39.8,28.3,14.4,NA,0.02107741,NA,AR,Independence County,7,8,7,8,0.179225628,5416,7832,18.4,15,21.8,0.063583971,1893,2807,27.2,21.9,32.5,0.041207825,1165,1881,24.5,18.7,30.3,37761,34728,40794,NA,NA,NA,NA,NA,NA,AR,Independence County,8,8,36647,36647,36959,0.003138613,0.012770908,0.010903975,0.001866934,0.000649368,0.001136394,0.001785763,-0.000514083,12.8,10.9,1.9,0.6,-3.8,-3.1
5065,0.002743586,IZARD,0.000519057,0.000148302,0.000370755,NA,5,"Izard, AR",15,3,2,0,0,0,0,1,2,0,13038,0.56,0.501249,80,1.764074,-0.150675,"Izard County, AR",9,10,0.358964852,0.331603144,0.027361708,7.6,0.459262,0.324097,0.18385,0.422615,1.298369,1.685762,0.38636,0.419791,0.296643,0.153271,0.333298,1.058626,1.120688,0.319284,Izard County,9,10,20.2,40,28,11.7,NA,0.0152751,NA,AR,Izard County,9,10,9,10,0.194127243,2059,3177,20.8,16.4,25.2,0.056280587,585,933,31.4,24.2,38.6,0.038558505,382,658,28.5,20.9,36.1,33308,30295,36321,NA,NA,NA,NA,NA,NA,AR,Izard County,10,10,13696,13696,13486,0.009046419,0.008823966,0.013421326,-0.00459736,0.000222453,0.012753967,0.01297642,0.000667359,8.9,13.5,-4.8,0.2,-3.6,-3.3
