classe,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,skewness_roll_belt,skewness_roll_belt.1,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,skewness_roll_forearm,skewness_pitch_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z
A,1.51,8.1,-94.4,3,5.587755,NA,2.713152,NA,-94.3,3,5.6,-94.4,3,5.6,0.1,0,0,1.5,0.1,0,8.1,0,0,-94.4,0,0,0.02,0,-0.02,-20,4,22,-3,601,-318,-129,20.7,-161,34,0,-128.4898,0.5051,0.2551,21.4327,0.4836,0.2339,-161,0,0,-0.02,0,-0.02,-289,110,-125,-374,350,516,-1.05825,NA,NA,0.13832,NA,NA,22.3,-161,34,20.7,-161,34,1.6,0,0,13,-70.7,-84.7,-0.6209,-0.6149,-0.096,0.1049,-70.1,-84.3,-0.6,-71,-85.3,-0.6,0.96,1.02,37,0.0204,13.1942,0.1811,0.0328,-70.5253,0.2384,0.0568,-84.8053,0.256,0.0656,0,-0.02,0,-235,47,-271,-558,291,-71,27.1,-63.7,-151,-0.368,-2.0402,0.2113,-0.2117,-63.7,-151,-0.4,-64,-152,-0.4,0.3,1,36,0,27.40204,0.45893,0.21062,-63.89388,0.07474,0.00559,-151.44898,0.50254,0.25255,0.03,-0.03,0,193,203,-213,-11,661,470
A,1.27,7.56,-94.1,3,-0.99713,NA,0.007518,NA,-94.1,3,-1,-94.4,3,-1,0.3,0,0,1.4,0.1,0,7.9,0.2,0,-94.3,0.1,0.01,0,0,-0.03,-19,4,21,0,601,-312,-130,19.4,-162,34,0,-129.6863,0.4686,0.2196,20.0451,0.4491,0.2017,-161.5882,0.4971,0.2471,0.02,-0.02,-0.03,-290,110,-127,-369,348,505,-1.46054,-1.94121,NA,0.20074,0.36953,NA,20.7,-161,34,19.4,-162,34,1.3,1,0,13.2,-70.4,-84.9,2.1593,1.1355,-1.0112,0.7419,-70,-83.9,2.2,-71.4,-85.3,2.2,1.41,1.39,37,0.0196,13.1455,0.3015,0.0909,-70.4565,0.2687,0.0722,-84.886,0.2864,0.082,-0.02,-0.02,-0.02,-232,47,-269,-561,289,-61,24.9,-63.8,-149,-0.6814,-1.302,0.6098,0.0685,-63.6,-149,-0.7,-63.9,-151,-0.7,0.3,2,36,0,26.18627,0.57585,0.33161,-63.79412,0.10082,0.01016,-150.03922,0.77358,0.59843,0.02,0,-0.05,190,207,-216,-10,653,467
A,1.18,7.26,-94.1,3,7.51529,NA,-3.031527,NA,-94.1,3,7.5,-94.2,3,7.5,0.1,0,0,1.2,0,0,7.4,0.1,0,-94.1,0,0,0.02,0,-0.03,-20,3,22,-8,602,-309,-131,18.1,-162,34,0,-130.7826,0.417,0.1739,18.7435,0.3716,0.1381,-162,0,0,0.02,-0.03,-0.02,-289,110,-122,-369,341,510,-1.10021,NA,NA,-0.03359,NA,NA,19.4,-162,34,18.1,-162,34,1.3,0,0,12.9,-70.5,-85,0.3758,1.4197,0.0809,0.1242,-70,-83.6,0.4,-71.5,-85.4,0.4,1.43,1.8,37,0.0217,13.2357,0.3689,0.1361,-70.7346,0.2798,0.0783,-84.5852,0.3249,0.1056,0,-0.02,-0.03,-232,46,-269,-563,295,-51,23.4,-63.8,-147,-0.2516,3.2626,0.3672,1.9917,-63.6,-147,-0.3,-63.9,-149,-0.3,0.3,2,36,0,24.65,0.4934,0.24344,-63.75217,0.07814,0.00611,-148.73913,0.53478,0.28599,0.06,0,0.03,192,205,-213,-5,653,475
A,128,27.8,1.52,21,-0.668237,0.988872,-0.638799,-1.717824,2.7,21,-0.7,1.5,20,-0.7,1.17,1,0.2,128.9,0.3,0.1,27.9,0.1,0,2.3,0.3,0.12,-0.47,-0.02,-0.48,-43,69,-187,3,566,-401,-1.12,-3.96,-63.3,3,0.1616,-4.307,2.1189,4.4897,2.9778,5.7029,32.5229,-25.0718,21.5283,463.4656,-0.16,-0.21,0.05,-1,-8,29,-397,318,517,-1.07679,-1.17642,3.65588,0.45981,-0.14758,0.34232,14.6,8.8,4,-4,-63.3,2,18.56,72.13,2,-24.1,17,127.4,0.5776,2.976,0.3351,-1.3408,23.6,130.4,0.6,6,111,0.6,17.6,19.42,10,0.2514,-29.3231,4.1505,17.2266,13.8775,3.9461,15.5718,124.1809,3.8744,15.0111,0.5,-0.11,-0.34,17,-24,96,479,-565,-16,81.5,-2.61,109,-1.3021,-0.2494,-0.5589,-0.0673,-0.2,109,-1.3,-2.7,107,-1.3,2.51,2,33,2.82612,80.06,1.17421,1.37878,-1.2918,0.86912,0.75537,108.14,0.60643,0.36776,0.06,-0.02,0.3,147,239,-167,-136,755,674
A,124,27.6,-2.03,20,-0.684696,-0.605475,-0.847382,1.192288,1.2,21,-0.7,-2,20,-0.7,3.23,1,0.2,126.2,0.8,0.6,27.4,0.3,0.1,0.1,1,1.06,-0.5,-0.02,-0.51,-37,69,-175,-6,578,-372,-160,-69,32.6,36,25.4043,-137.2604,26.1046,681.4501,-54.6667,15.0704,227.118,11.3142,26.7693,716.5955,1.67,-1.25,0.02,347,8,55,651,174,250,-1.397,3.59486,-0.67859,-0.01884,-2.06464,-0.6731,-32.8,32.6,46,-77.2,-78.7,29,44.4,111.3,17,-3.4,30.7,126.1,1.2107,-0.7197,0.7684,0.4106,30.7,133.5,1.2,10.6,120.9,1.2,20.11,12.62,9,0.34,-23.4639,6.0949,37.1478,18.1634,3.9071,15.2658,126.5357,3.3652,11.3248,0.29,-0.08,-0.36,27,-3,85,512,-540,-69,89.2,3.01,105,-1.2273,0.7148,0.2921,0.7837,5.2,108,-1.2,3,105,-1.2,2.18,3,36,1.31738,86.38542,1.32006,1.74255,4.07,0.66901,0.44758,106,0.79894,0.6383,0.06,0.05,0.03,146,252,-191,-154,741,578
A,125,26,-2.08,20,-1.385691,44,0.216158,-6.63325,-0.7,20,-1.4,-2.1,19,-1.4,1.34,1,0,124.8,0.4,0.2,25.7,0.2,0,-1.4,0.4,0.17,-0.53,-0.02,-0.49,-42,72,-179,4,570,-381,148,-12.7,31.1,34,30.1839,144.6136,6.7349,45.3589,-11.7236,12.4996,156.2395,17.8416,16.8559,284.1212,1.93,-1.33,0.03,324,22,83,645,204,255,-0.64101,-0.45042,-0.32889,-0.75988,0.65268,-0.82053,2.6,57.5,46,-38.5,-3,26,41.06,60.5,20,-8.7,26.5,129.1,0.8744,-0.297,-0.4791,-0.3561,38,136.6,0.9,2.2,111.9,0.9,35.8,24.72,9,0.3996,-12.9177,13.1475,172.858,24.3421,7.8107,61.0067,125.9856,5.5031,30.2838,0.58,-0.11,-0.44,24,-8,88,523,-533,-45,103,83.4,111,-1.4844,4.4184,-0.0982,2.3865,86.9,168,-1.5,47.5,-153,-1.5,39.4,321,27,4.34408,-91.47727,81.10243,6577.60412,68.16818,13.84482,191.67896,-71.08409,79.28151,6285.55718,-0.56,1.83,0.41,-152,154,-145,-713,346,573
A,123,26,-3.07,19,-1.021178,-0.15095,-0.263336,-1.362688,-3.1,20,-1,-3.6,19,-1,0.5,1,0.2,123.7,0.4,0.2,26.2,0.1,0,-3.3,0.1,0.02,-0.39,-0.03,-0.43,-41,69,-173,0,581,-381,132,13.3,69.3,22,22.4906,138.5102,3.5126,12.3384,-6.2506,7.5241,56.6116,97.6898,12.9377,167.3847,-2.81,0.75,0.2,144,22,160,286,259,541,0.33469,-0.96912,-1.00277,1.14319,-0.51079,0.3602,13.3,113,22,-13.5,69.3,6,26.8,43.7,16,-11.8,28.6,126,0.1686,0.5687,0.1918,-0.4092,50.7,139.7,0.2,16.5,96.3,0.2,34.25,43.41,9,2.3087,-12.4734,12.9313,167.218,31.4153,7.8362,61.4059,120.8315,8.9637,80.3487,0.59,-0.11,-0.34,24,-10,81,524,-524,-94,178,79.7,-176,-0.9733,28.5654,0.7345,-4.5014,79.8,168,-1,2.7,-176,-1,77.1,344,29,6.90306,101.76122,18.52831,343.29826,28.98735,26.72925,714.4527,88.22653,43.7838,1917.02116,0.47,-2.12,-0.21,-146,170,-168,-706,273,489
A,123,26.1,-3.09,20,1.775249,-1.473052,-1.561715,-0.7767,-1.9,20,1.8,-3.1,19,1.8,1.2,1,0.2,123.9,0.4,0.1,25.8,0.2,0,-2.2,0.3,0.1,-0.53,-0.02,-0.48,-38,69,-175,8,583,-371,80.8,55.1,-2.18,38,70.7788,94.895,28.756,826.9077,46.12,5.9083,34.9083,18.6505,39.823,1585.8741,1.83,-1.41,0.02,376,-19,-12,722,134,104,-1.40229,-1.05177,-1.07436,-0.1742,0.66646,-0.5811,55.1,96,45,35.7,-22.3,18,19.4,118.3,27,3.5,38.5,118.4,0.5158,-0.1238,0.6445,-0.3924,49.1,141.3,0.5,14.5,106,0.5,34.66,35.3,9,0.6564,-8.3586,14.0707,197.9849,27.9465,7.7761,60.4673,124.7751,8.7194,76.0281,0.47,0,-0.21,32,3,79,521,-534,-69,-124,52.8,-112,-1.3428,-1.3231,0.2145,0.7607,77.9,174,-1.3,38.1,-170,-1.3,39.8,344,28,12.30513,-48.125,119.04711,14172.21474,56.5225,13.3219,177.47307,-36.14,114.22786,13048.00297,-0.24,1.96,0.26,-188,-56,-185,-519,-234,263
A,122,25.9,-3.98,19,-1.227048,-0.386848,0.487345,1.276157,-2.9,20,-1.2,-4,19,-1.2,1.13,1,0.2,122.3,0.5,0.2,26,0.2,0,-3.5,0.4,0.15,-0.43,-0.03,-0.43,-44,67,-171,6,581,-370,-176,38.7,141,15,88.7071,-24.3709,161.4515,26066.5754,40.0309,17.2462,297.4318,106.4673,42.7052,1823.7359,-1.99,0.48,-0.07,47,27,141,-148,346,579,-1.52038,0.25093,-0.59212,0.31997,-1.22675,0.82348,66.6,142,39,20,1.6,8,46.6,140.39,31,-10.8,23.2,131.4,-0.6157,-0.4458,0.3489,-0.4018,45.7,139.1,-0.6,17.7,111.1,-0.6,28.05,27.96,7,0.9663,-4.248,7.701,59.3049,29.3729,7.0744,50.0471,126.2594,6.5746,43.2251,-0.4,0.08,-0.07,15,-7,63,526,-524,-134,100,13,81.1,-1.5186,0.8105,0.036,-1.498,80.2,175,-1.5,12,-167,-1.5,68.2,342,34,14.9037,59.22364,95.21752,9066.37702,43.73273,24.1309,582.30039,48.66182,87.94942,7735.10129,0.37,-0.43,0.23,82,285,-161,-238,780,658
A,123,25.7,-3.98,20,-1.057741,-2.060105,0.000748,0.189082,-3.8,20,-1.1,-4.6,19,-1.1,0.83,1,0.3,122.5,0.5,0.3,25.9,0.2,0,-4.2,0.3,0.07,-0.51,-0.02,-0.46,-43,71,-180,10,581,-362,23.6,54.3,-25.9,38,88.3018,35.0659,93.559,8753.2832,54.6023,15.2323,232.023,29.4498,68.4248,4681.9522,2.09,-1.41,0.07,366,-36,37,714,136,136,-1.17207,-1.31581,-1.26261,0.36073,0.75488,-0.34977,81.4,141,45,34.1,-25.9,15,47.3,166.9,30,1.3,31.8,125.3,0.9826,-0.3877,-0.6322,-0.0084,51.3,143,1,-1.2,99.1,1,52.5,43.92,8,1.5095,-3.4977,16.4023,269.0353,31.357,10.3934,108.0236,121.2887,10.4672,109.5621,0.47,-0.06,-0.1,24,1,73,551,-498,-89,-129,44.2,-112,-0.9372,-1.7065,-0.3734,-0.4153,71.7,178,-0.9,13.6,-171,-0.9,58.1,349,30,19.53224,17.63636,128.14165,16420.2833,47.34773,17.91792,321.05186,18.67727,119.65069,14316.28877,-0.34,1,-0.11,-118,-158,-215,-448,-349,164
